Disease,Symptoms
Brucellosis,"fatigue, joint pain, night sweats, vomiting, swelling of testicles"
Brucellosis,"night sweats, vomiting, swelling of testicles, fatigue, joint pain"
Brucellosis,"night sweats, swelling of testicles, vomiting, joint pain, fatigue"
COVID-19,"cough, loss of taste or smell, shortness of breath, fatigue, severe headache"
COVID-19,"severe headache, shortness of breath, cough, fatigue, loss of taste or smell"
COVID-19,"shortness of breath, loss of taste or smell, fatigue, severe headache, cough"
COVID-19,"shortness of breath, fatigue, loss of taste or smell, severe headache, cough"
COVID-19,"shortness of breath, severe headache, loss of taste or smell, cough, fatigue"
COVID-19,"severe headache, loss of taste or smell, fatigue, shortness of breath, cough"
COVID-19,"cough, severe headache, shortness of breath, fatigue, loss of taste or smell"
COVID-19,"cough, fatigue, loss of taste or smell, severe headache, shortness of breath"
COVID-19,"fatigue, cough, shortness of breath, loss of taste or smell, severe headache"
COVID-19,"severe headache, shortness of breath, loss of taste or smell, cough, fatigue"
Campylobacteriosis,"diarrhea, stomach cramps, fever, nausea, headache"
Campylobacteriosis,"stomach cramps, nausea, headache, fever, diarrhea"
Campylobacteriosis,"diarrhea, stomach cramps, headache, nausea, fever"
Campylobacteriosis,"nausea, fever, headache, stomach cramps, diarrhea"
Campylobacteriosis,"stomach cramps, diarrhea, headache, fever, nausea"
Campylobacteriosis,"diarrhea, headache, stomach cramps, nausea, fever"
Campylobacteriosis,"headache, nausea, fever, diarrhea, stomach cramps"
Campylobacteriosis,"stomach cramps, diarrhea, nausea, fever, headache"
Campylobacteriosis,"diarrhea, fever, stomach cramps, headache, nausea"
Campylobacteriosis,"fever, stomach cramps, headache, nausea, diarrhea"
Cataracts,"cloudy vision, difficulty seeing at night, sensitivity to light, faded colors, fatigue"
Cataracts,"difficulty seeing at night, faded colors, cloudy vision, fatigue, sensitivity to light"
Cataracts,"faded colors, difficulty seeing at night, cloudy vision, sensitivity to light, fatigue"
Cataracts,"difficulty seeing at night, faded colors, sensitivity to light, fatigue, cloudy vision"
Cataracts,"cloudy vision, difficulty seeing at night, fatigue, faded colors, sensitivity to light"
Cataracts,"difficulty seeing at night, fatigue, sensitivity to light, cloudy vision, faded colors"
Cataracts,"sensitivity to light, difficulty seeing at night, faded colors, cloudy vision, fatigue"
Cataracts,"difficulty seeing at night, cloudy vision, faded colors, fatigue, sensitivity to light"
Cataracts,"cloudy vision, sensitivity to light, fatigue, faded colors, difficulty seeing at night"
Cataracts,"faded colors, cloudy vision, difficulty seeing at night, sensitivity to light, fatigue"
Celiac Disease,"bloating, diarrhea, weight loss, fatigue, confusion"
Celiac Disease,"weight loss, confusion, bloating, diarrhea, fatigue"
Celiac Disease,"bloating, confusion, weight loss, fatigue, diarrhea"
Celiac Disease,"fatigue, weight loss, diarrhea, bloating, confusion"
Celiac Disease,"diarrhea, weight loss, fatigue, bloating, confusion"
Celiac Disease,"confusion, fatigue, diarrhea, bloating, weight loss"
Celiac Disease,"weight loss, diarrhea, confusion, bloating, fatigue"
Celiac Disease,"weight loss, fatigue, diarrhea, confusion, bloating"
Celiac Disease,"confusion, diarrhea, bloating, fatigue, weight loss"
Celiac Disease,"diarrhea, weight loss, confusion, fatigue, bloating"
Cervical Cancer,"pain crises, cough, loss of taste or smell, shortness of breath, fatigue"
Cervical Cancer,"loss of taste or smell, fatigue, cough, pain crises, shortness of breath"
Cervical Cancer,"fatigue, shortness of breath, pain crises, cough, loss of taste or smell"
Cervical Cancer,"cough, fatigue, loss of taste or smell, shortness of breath, pain crises"
Cervical Cancer,"cough, loss of taste or smell, pain crises, fatigue, shortness of breath"
Cervical Cancer,"fatigue, cough, loss of taste or smell, shortness of breath, pain crises"
Cervical Cancer,"fatigue, cough, pain crises, shortness of breath, loss of taste or smell"
Cervical Cancer,"fatigue, shortness of breath, cough, pain crises, loss of taste or smell"
Cervical Cancer,"fatigue, cough, shortness of breath, loss of taste or smell, pain crises"
Cervical Cancer,"cough, fatigue, shortness of breath, pain crises, loss of taste or smell"
Cervical spondylosis,"weakness in limbs, dizziness, neck pain, loss of balance, back pain"
Cervical spondylosis,"dizziness, back pain, weakness in limbs, neck pain, loss of balance"
Cervical spondylosis,"loss of balance, neck pain, back pain, weakness in limbs, dizziness"
Cervical spondylosis,"dizziness, loss of balance, neck pain, back pain, weakness in limbs"
Cervical spondylosis,"loss of balance, neck pain, weakness in limbs, dizziness, back pain"
Cervical spondylosis,"dizziness, back pain, loss of balance, weakness in limbs, neck pain"
Cervical spondylosis,"weakness in limbs, neck pain, loss of balance, dizziness, back pain"
Cervical spondylosis,"neck pain, back pain, weakness in limbs, dizziness, loss of balance"
Cervical spondylosis,"weakness in limbs, back pain, dizziness, loss of balance, neck pain"
Cervical spondylosis,"back pain, dizziness, loss of balance, weakness in limbs, neck pain"
Chikungunya,"fever, joint pain, muscle pain, rash, fatigue"
Chikungunya,"muscle pain, rash, fatigue, joint pain, fever"
Chikungunya,"rash, fatigue, fever, joint pain, muscle pain"
Chikungunya,"rash, muscle pain, joint pain, fatigue, fever"
Chikungunya,"fatigue, joint pain, rash, fever, muscle pain"
Chikungunya,"muscle pain, fever, fatigue, joint pain, rash"
Chikungunya,"fever, rash, muscle pain, fatigue, joint pain"
Chikungunya,"fever, fatigue, rash, muscle pain, joint pain"
Chikungunya,"rash, muscle pain, joint pain, fever, fatigue"
Chikungunya,"fatigue, fever, joint pain, rash, muscle pain"
Chicken pox,"fatigue, itching, high fever, skin rash, lethargy"
Chicken pox,"fatigue, itching, lethargy, skin rash, high fever"
Chicken pox,"lethargy, itching, high fever, skin rash, fatigue"
Chicken pox,"fatigue, skin rash, high fever, itching, lethargy"
Chicken pox,"fatigue, skin rash, lethargy, high fever, itching"
Chicken pox,"fatigue, high fever, lethargy, itching, skin rash"
Chicken pox,"high fever, fatigue, itching, skin rash, lethargy"
Chicken pox,"lethargy, skin rash, fatigue, high fever, itching"
Chicken pox,"lethargy, high fever, skin rash, fatigue, itching"
Chlamydia,"hoarseness, cough, loss of taste or smell, shortness of breath, fatigue"
Chlamydia,"hoarseness, loss of taste or smell, cough, shortness of breath, fatigue"
Chlamydia,"shortness of breath, cough, hoarseness, fatigue, loss of taste or smell"
Chlamydia,"loss of taste or smell, cough, hoarseness, shortness of breath, fatigue"
Chlamydia,"cough, fatigue, hoarseness, shortness of breath, loss of taste or smell"
Chlamydia,"hoarseness, fatigue, cough, shortness of breath, loss of taste or smell"
Chlamydia,"loss of taste or smell, fatigue, hoarseness, shortness of breath, cough"
Chlamydia,"fatigue, hoarseness, loss of taste or smell, cough, shortness of breath"
Chlamydia,"fatigue, shortness of breath, hoarseness, loss of taste or smell, cough"
Chlamydia,"shortness of breath, hoarseness, cough, loss of taste or smell, fatigue"
Cholera,"tremors, fever, night sweats, weight loss, fatigue"
Cholera,"fever, weight loss, fatigue, night sweats, tremors"
Cholera,"fatigue, fever, night sweats, tremors, weight loss"
Cholera,"tremors, night sweats, fever, fatigue, weight loss"
Cholera,"tremors, fatigue, fever, weight loss, night sweats"
Cholera,"tremors, weight loss, night sweats, fatigue, fever"
Cholera,"weight loss, night sweats, tremors, fever, fatigue"
Cholera,"fatigue, tremors, weight loss, fever, night sweats"
Cholera,"weight loss, fatigue, fever, tremors, night sweats"
Cholera,"fatigue, fever, tremors, night sweats, weight loss"
Chronic Fatigue Syndrome,"extreme tiredness, memory issues, sore throat, muscle pain, fatigue"
Chronic Fatigue Syndrome,"sore throat, muscle pain, fatigue, extreme tiredness, memory issues"
Chronic Fatigue Syndrome,"memory issues, sore throat, fatigue, extreme tiredness, muscle pain"
Chronic Fatigue Syndrome,"muscle pain, fatigue, memory issues, sore throat, extreme tiredness"
Chronic Fatigue Syndrome,"muscle pain, fatigue, sore throat, memory issues, extreme tiredness"
Chronic Fatigue Syndrome,"memory issues, muscle pain, sore throat, fatigue, extreme tiredness"
Chronic Fatigue Syndrome,"memory issues, sore throat, muscle pain, fatigue, extreme tiredness"
Chronic Fatigue Syndrome,"extreme tiredness, fatigue, sore throat, memory issues, muscle pain"
Chronic Fatigue Syndrome,"memory issues, sore throat, extreme tiredness, muscle pain, fatigue"
Chronic Fatigue Syndrome,"sore throat, fatigue, extreme tiredness, muscle pain, memory issues"
Chronic Kidney Disease,"swelling in legs, high blood pressure, frequent urination, nausea, fatigue"
Chronic Kidney Disease,"high blood pressure, frequent urination, swelling in legs, nausea, fatigue"
Chronic Kidney Disease,"high blood pressure, fatigue, swelling in legs, nausea, frequent urination"
Chronic Kidney Disease,"nausea, frequent urination, swelling in legs, high blood pressure, fatigue"
Chronic Kidney Disease,"high blood pressure, frequent urination, fatigue, nausea, swelling in legs"
Chronic Kidney Disease,"nausea, frequent urination, high blood pressure, swelling in legs, fatigue"
Chronic Kidney Disease,"fatigue, high blood pressure, nausea, frequent urination, swelling in legs"
Chronic Kidney Disease,"swelling in legs, nausea, high blood pressure, fatigue, frequent urination"
Chronic Kidney Disease,"swelling in legs, high blood pressure, fatigue, nausea, frequent urination"
Chronic Kidney Disease,"nausea, frequent urination, high blood pressure, fatigue, swelling in legs"
Chronic Sinusitis,"cough, sneezing, ear pain, difficulty breathing, postnasal drip"
Chronic Sinusitis,"ear pain, difficulty breathing, postnasal drip, sneezing, cough"
Chronic Sinusitis,"sneezing, cough, postnasal drip, ear pain, difficulty breathing"
Chronic Sinusitis,"difficulty breathing, cough, postnasal drip, ear pain, sneezing"
Chronic Sinusitis,"difficulty breathing, postnasal drip, sneezing, ear pain, cough"
Chronic Sinusitis,"postnasal drip, sneezing, ear pain, difficulty breathing, cough"
Chronic Sinusitis,"postnasal drip, cough, ear pain, difficulty breathing, sneezing"
Chronic Sinusitis,"ear pain, difficulty breathing, sneezing, cough, postnasal drip"
Chronic Sinusitis,"cough, difficulty breathing, postnasal drip, ear pain, sneezing"
Chronic Sinusitis,"cough, sneezing, postnasal drip, difficulty breathing, ear pain"
Chronic cholestasis,"itching, vomiting, loss of appetite, yellowish skin, nausea"
Chronic cholestasis,"nausea, loss of appetite, itching, vomiting, yellowish skin"
Chronic cholestasis,"itching, loss of appetite, vomiting, yellowish skin, nausea"
Chronic cholestasis,"loss of appetite, vomiting, nausea, itching, yellowish skin"
Chronic cholestasis,"yellowish skin, vomiting, loss of appetite, itching, nausea"
Chronic cholestasis,"yellowish skin, vomiting, nausea, itching, loss of appetite"
Chronic cholestasis,"vomiting, itching, yellowish skin, nausea, loss of appetite"
Chronic cholestasis,"loss of appetite, nausea, vomiting, itching, yellowish skin"
Chronic cholestasis,"yellowish skin, vomiting, nausea, loss of appetite, itching"
Chronic cholestasis,"vomiting, yellowish skin, itching, loss of appetite, nausea"
Coccidioidomycosis,"dry patches, cough, mucus production, wheezing, fatigue"
Coccidioidomycosis,"fatigue, cough, wheezing, dry patches, mucus production"
Coccidioidomycosis,"dry patches, cough, fatigue, wheezing, mucus production"
Coccidioidomycosis,"dry patches, cough, wheezing, mucus production, fatigue"
Coccidioidomycosis,"cough, mucus production, wheezing, fatigue, dry patches"
Coccidioidomycosis,"fatigue, mucus production, dry patches, wheezing, cough"
Coccidioidomycosis,"mucus production, cough, dry patches, wheezing, fatigue"
Coccidioidomycosis,"cough, wheezing, dry patches, mucus production, fatigue"
Coccidioidomycosis,"dry patches, mucus production, fatigue, wheezing, cough"
Coccidioidomycosis,"fatigue, wheezing, mucus production, dry patches, cough"
Colon Cancer,"pelvic pain, weight loss, weakness, changes in bowel habits, jaundice"
Colon Cancer,"jaundice, weight loss, weakness, pelvic pain, changes in bowel habits"
Colon Cancer,"pelvic pain, jaundice, weight loss, weakness, changes in bowel habits"
Colon Cancer,"weight loss, pelvic pain, weakness, changes in bowel habits, jaundice"
Colon Cancer,"jaundice, changes in bowel habits, weakness, pelvic pain, weight loss"
Colon Cancer,"jaundice, pelvic pain, weight loss, weakness, changes in bowel habits"
Colon Cancer,"changes in bowel habits, weakness, pelvic pain, jaundice, weight loss"
Colon Cancer,"pelvic pain, weakness, weight loss, changes in bowel habits, jaundice"
Colon Cancer,"weakness, weight loss, changes in bowel habits, pelvic pain, jaundice"
Common Cold,"fatigue, high fever, chills, cough, continuous sneezing"
Common Cold,"fatigue, continuous sneezing, chills, cough, high fever"
Common Cold,"high fever, cough, continuous sneezing, fatigue, chills"
Common Cold,"continuous sneezing, fatigue, high fever, chills, cough"
Common Cold,"continuous sneezing, cough, fatigue, high fever, chills"
Common Cold,"fatigue, cough, high fever, chills, continuous sneezing"
Common Cold,"chills, cough, high fever, fatigue, continuous sneezing"
Common Cold,"chills, high fever, fatigue, cough, continuous sneezing"
Common Cold,"continuous sneezing, high fever, cough, chills, fatigue"
Common Cold,"chills, high fever, continuous sneezing, cough, fatigue"
Crohn's Disease,"loss of energy, cough, mucus production, wheezing, fatigue"
Crohn's Disease,"wheezing, cough, loss of energy, mucus production, fatigue"
Crohn's Disease,"wheezing, loss of energy, fatigue, mucus production, cough"
Crohn's Disease,"wheezing, cough, mucus production, fatigue, loss of energy"
Crohn's Disease,"mucus production, wheezing, fatigue, loss of energy, cough"
Crohn's Disease,"cough, loss of energy, wheezing, mucus production, fatigue"
Crohn's Disease,"wheezing, cough, fatigue, loss of energy, mucus production"
Crohn's Disease,"loss of energy, cough, wheezing, mucus production, fatigue"
Crohn's Disease,"cough, wheezing, loss of energy, mucus production, fatigue"
Crohn's Disease,"fatigue, wheezing, loss of energy, cough, mucus production"
Cryptococcosis,"headache, mental confusion, stiff neck, nausea, vomiting"
Cryptococcosis,"mental confusion, vomiting, stiff neck, headache, nausea"
Cryptococcosis,"mental confusion, stiff neck, nausea, vomiting, headache"
Cryptococcosis,"mental confusion, headache, stiff neck, vomiting, nausea"
Cryptococcosis,"vomiting, nausea, stiff neck, headache, mental confusion"
Cryptococcosis,"vomiting, headache, nausea, stiff neck, mental confusion"
Cryptococcosis,"headache, stiff neck, vomiting, nausea, mental confusion"
Cryptococcosis,"mental confusion, stiff neck, nausea, headache, vomiting"
Cryptococcosis,"vomiting, headache, stiff neck, nausea, mental confusion"
Cushing's Syndrome,"weight gain, high blood pressure, round face, purple stretch marks, vomiting"
Cushing's Syndrome,"purple stretch marks, vomiting, weight gain, round face, high blood pressure"
Cushing's Syndrome,"weight gain, purple stretch marks, high blood pressure, vomiting, round face"
Cushing's Syndrome,"high blood pressure, vomiting, weight gain, purple stretch marks, round face"
Cushing's Syndrome,"vomiting, purple stretch marks, weight gain, round face, high blood pressure"
Cushing's Syndrome,"purple stretch marks, weight gain, vomiting, high blood pressure, round face"
Cushing's Syndrome,"round face, vomiting, high blood pressure, weight gain, purple stretch marks"
Cushing's Syndrome,"purple stretch marks, weight gain, vomiting, round face, high blood pressure"
Cushing's Syndrome,"high blood pressure, round face, weight gain, vomiting, purple stretch marks"
Cushing's Syndrome,"purple stretch marks, weight gain, round face, vomiting, high blood pressure"
Cystic Fibrosis,"coughing up blood, chest tightness, frequent lung infections, difficulty breathing, sinus infections"
Cystic Fibrosis,"coughing up blood, sinus infections, chest tightness, frequent lung infections, difficulty breathing"
Cystic Fibrosis,"sinus infections, chest tightness, frequent lung infections, difficulty breathing, coughing up blood"
Cystic Fibrosis,"frequent lung infections, sinus infections, coughing up blood, chest tightness, difficulty breathing"
Cystic Fibrosis,"sinus infections, chest tightness, coughing up blood, frequent lung infections, difficulty breathing"
Cystic Fibrosis,"coughing up blood, frequent lung infections, difficulty breathing, chest tightness, sinus infections"
Cystic Fibrosis,"sinus infections, frequent lung infections, difficulty breathing, chest tightness, coughing up blood"
Cystic Fibrosis,"chest tightness, frequent lung infections, difficulty breathing, coughing up blood, sinus infections"
Cystic Fibrosis,"sinus infections, difficulty breathing, chest tightness, frequent lung infections, coughing up blood"
Cystic Fibrosis,"coughing up blood, difficulty breathing, chest tightness, frequent lung infections, sinus infections"
Deep Vein Thrombosis (DVT),"leg swelling, pain in leg, warm skin, redness, shortness of breath"
Deep Vein Thrombosis (DVT),"warm skin, leg swelling, shortness of breath, redness, pain in leg"
Deep Vein Thrombosis (DVT),"shortness of breath, redness, pain in leg, leg swelling, warm skin"
Deep Vein Thrombosis (DVT),"leg swelling, shortness of breath, pain in leg, warm skin, redness"
Deep Vein Thrombosis (DVT),"shortness of breath, redness, leg swelling, pain in leg, warm skin"
Deep Vein Thrombosis (DVT),"leg swelling, shortness of breath, redness, pain in leg, warm skin"
Deep Vein Thrombosis (DVT),"warm skin, redness, pain in leg, leg swelling, shortness of breath"
Deep Vein Thrombosis (DVT),"warm skin, leg swelling, pain in leg, shortness of breath, redness"
Deep Vein Thrombosis (DVT),"pain in leg, redness, warm skin, shortness of breath, leg swelling"
Deep Vein Thrombosis (DVT),"warm skin, shortness of breath, leg swelling, redness, pain in leg"
Dengue Fever,"swollen glands, dehydration, weakness, pain behind eyes, joint pain"
Dengue Fever,"dehydration, swollen glands, weakness, pain behind eyes, joint pain"
Dengue Fever,"dehydration, swollen glands, weakness, joint pain, pain behind eyes"
Dengue Fever,"pain behind eyes, swollen glands, joint pain, weakness, dehydration"
Dengue Fever,"joint pain, dehydration, pain behind eyes, weakness, swollen glands"
Dengue Fever,"pain behind eyes, joint pain, swollen glands, dehydration, weakness"
Dengue Fever,"weakness, joint pain, swollen glands, dehydration, pain behind eyes"
Dengue Fever,"joint pain, dehydration, weakness, swollen glands, pain behind eyes"
Dengue Fever,"swollen glands, dehydration, weakness, joint pain, pain behind eyes"
Dengue Fever,"swollen glands, joint pain, weakness, dehydration, pain behind eyes"
Dermatitis,"red itchy skin, blister, dry patches, scaling, confusion"
Dermatitis,"scaling, blister, confusion, red itchy skin, dry patches"
Dermatitis,"confusion, red itchy skin, blister, dry patches, scaling"
Dermatitis,"scaling, confusion, dry patches, blister, red itchy skin"
Dermatitis,"confusion, scaling, dry patches, blister, red itchy skin"
Dermatitis,"confusion, blister, dry patches, red itchy skin, scaling"
Dermatitis,"scaling, blister, dry patches, confusion, red itchy skin"
Dermatitis,"blister, scaling, dry patches, confusion, red itchy skin"
Dermatitis,"dry patches, scaling, blister, confusion, red itchy skin"
Dermatitis,"confusion, scaling, blister, red itchy skin, dry patches"
Diabetes,"severe abdominal pain, chest pain, cough, shortness of breath, fatigue"
Diabetes,"chest pain, shortness of breath, cough, fatigue, severe abdominal pain"
Diabetes,"shortness of breath, chest pain, fatigue, cough, severe abdominal pain"
Diabetes,"severe abdominal pain, cough, chest pain, shortness of breath, fatigue"
Diabetes,"severe abdominal pain, shortness of breath, fatigue, chest pain, cough"
Diabetes,"chest pain, fatigue, shortness of breath, cough, severe abdominal pain"
Diabetes,"severe abdominal pain, shortness of breath, chest pain, cough, fatigue"
Diabetes,"fatigue, shortness of breath, severe abdominal pain, cough, chest pain"
Diabetes,"cough, shortness of breath, fatigue, chest pain, severe abdominal pain"
Diabetes,"cough, shortness of breath, chest pain, fatigue, severe abdominal pain"
Dimorphic hemmorhoids(piles),"irritation in anus, pain during bowel movements, constipation, pain in anal region, bloody stool"
Dimorphic hemmorhoids(piles),"pain in anal region, irritation in anus, bloody stool, pain during bowel movements, constipation"
Dimorphic hemmorhoids(piles),"pain during bowel movements, bloody stool, constipation, irritation in anus, pain in anal region"
Dimorphic hemmorhoids(piles),"irritation in anus, constipation, pain during bowel movements, pain in anal region, bloody stool"
Dimorphic hemmorhoids(piles),"constipation, pain during bowel movements, irritation in anus, bloody stool, pain in anal region"
Dimorphic hemmorhoids(piles),"bloody stool, pain during bowel movements, constipation, irritation in anus, pain in anal region"
Dimorphic hemmorhoids(piles),"constipation, pain in anal region, pain during bowel movements, bloody stool, irritation in anus"
Dimorphic hemmorhoids(piles),"pain during bowel movements, pain in anal region, constipation, irritation in anus, bloody stool"
Dimorphic hemmorhoids(piles),"pain during bowel movements, constipation, bloody stool, pain in anal region, irritation in anus"
Dimorphic hemmorhoids(piles),"pain during bowel movements, constipation, bloody stool, irritation in anus, pain in anal region"
Diphtheria,"sore throat, thick gray coating in throat, difficulty breathing, swollen neck, fatigue"
Diphtheria,"thick gray coating in throat, sore throat, difficulty breathing, fatigue, swollen neck"
Diphtheria,"thick gray coating in throat, swollen neck, sore throat, fatigue, difficulty breathing"
Diphtheria,"fatigue, swollen neck, difficulty breathing, thick gray coating in throat, sore throat"
Diphtheria,"swollen neck, difficulty breathing, sore throat, thick gray coating in throat, fatigue"
Diphtheria,"difficulty breathing, sore throat, swollen neck, fatigue, thick gray coating in throat"
Diphtheria,"fatigue, swollen neck, difficulty breathing, sore throat, thick gray coating in throat"
Diphtheria,"sore throat, difficulty breathing, fatigue, swollen neck, thick gray coating in throat"
Diphtheria,"sore throat, swollen neck, difficulty breathing, fatigue, thick gray coating in throat"
Diphtheria,"sore throat, swollen neck, difficulty breathing, thick gray coating in throat, fatigue"
Diverticulitis,"cramping, dehydration, weakness, rectal bleeding, chills"
Diverticulitis,"chills, cramping, rectal bleeding, weakness, dehydration"
Diverticulitis,"cramping, dehydration, chills, rectal bleeding, weakness"
Diverticulitis,"weakness, dehydration, cramping, rectal bleeding, chills"
Diverticulitis,"weakness, rectal bleeding, cramping, chills, dehydration"
Diverticulitis,"cramping, chills, rectal bleeding, weakness, dehydration"
Diverticulitis,"chills, dehydration, weakness, cramping, rectal bleeding"
Diverticulitis,"rectal bleeding, dehydration, chills, weakness, cramping"
Diverticulitis,"weakness, dehydration, rectal bleeding, chills, cramping"
Diverticulitis,"rectal bleeding, cramping, weakness, chills, dehydration"
Drug Reaction,"itching, burning micturition, stomach pain, skin rash, spotting  urination"
Drug Reaction,"itching, spotting  urination, skin rash, burning micturition, stomach pain"
Drug Reaction,"stomach pain, skin rash, itching, burning micturition, spotting  urination"
Drug Reaction,"stomach pain, burning micturition, itching, skin rash, spotting  urination"
Drug Reaction,"itching, stomach pain, burning micturition, spotting  urination, skin rash"
Drug Reaction,"stomach pain, skin rash, burning micturition, itching, spotting  urination"
Drug Reaction,"skin rash, itching, stomach pain, burning micturition, spotting  urination"
Drug Reaction,"stomach pain, skin rash, itching, spotting  urination, burning micturition"
Drug Reaction,"stomach pain, itching, skin rash, burning micturition, spotting  urination"
Drug Reaction,"stomach pain, skin rash, burning micturition, spotting  urination, itching"
E. Coli Infection,"family history, fever, night sweats, weight loss, fatigue"
E. Coli Infection,"fever, family history, weight loss, fatigue, night sweats"
E. Coli Infection,"night sweats, fatigue, family history, weight loss, fever"
E. Coli Infection,"fatigue, fever, family history, weight loss, night sweats"
E. Coli Infection,"night sweats, family history, weight loss, fever, fatigue"
E. Coli Infection,"night sweats, weight loss, fever, fatigue, family history"
E. Coli Infection,"night sweats, fatigue, fever, weight loss, family history"
E. Coli Infection,"fever, weight loss, night sweats, fatigue, family history"
E. Coli Infection,"fatigue, night sweats, family history, fever, weight loss"
E. Coli Infection,"fever, family history, weight loss, night sweats, fatigue"
Ebola,"indigestion, chills, sweating, high fever, headache"
Ebola,"indigestion, headache, high fever, sweating, chills"
Ebola,"high fever, headache, sweating, indigestion, chills"
Ebola,"sweating, headache, high fever, chills, indigestion"
Ebola,"indigestion, headache, chills, sweating, high fever"
Ebola,"chills, indigestion, headache, sweating, high fever"
Ebola,"sweating, indigestion, high fever, chills, headache"
Ebola,"high fever, headache, indigestion, sweating, chills"
Ebola,"indigestion, headache, chills, high fever, sweating"
Ebola,"high fever, sweating, headache, indigestion, chills"
Eczema,"crawling sensation, dehydration, low blood pressure, severe diarrhea, vomiting"
Eczema,"severe diarrhea, dehydration, vomiting, crawling sensation, low blood pressure"
Eczema,"dehydration, crawling sensation, vomiting, low blood pressure, severe diarrhea"
Eczema,"severe diarrhea, vomiting, crawling sensation, dehydration, low blood pressure"
Eczema,"crawling sensation, low blood pressure, vomiting, dehydration, severe diarrhea"
Eczema,"low blood pressure, vomiting, crawling sensation, dehydration, severe diarrhea"
Eczema,"severe diarrhea, dehydration, low blood pressure, crawling sensation, vomiting"
Eczema,"crawling sensation, dehydration, severe diarrhea, vomiting, low blood pressure"
Eczema,"severe diarrhea, low blood pressure, dehydration, crawling sensation, vomiting"
Eczema,"crawling sensation, severe diarrhea, dehydration, low blood pressure, vomiting"
Ehlers-Danlos Syndrome,"osteoporosis, joint dislocations, poor coordination, delayed wound healing, chronic fatigue"
Ehlers-Danlos Syndrome,"chronic fatigue, joint dislocations, poor coordination, osteoporosis, delayed wound healing"
Ehlers-Danlos Syndrome,"poor coordination, delayed wound healing, chronic fatigue, joint dislocations, osteoporosis"
Ehlers-Danlos Syndrome,"osteoporosis, delayed wound healing, joint dislocations, poor coordination, chronic fatigue"
Ehlers-Danlos Syndrome,"osteoporosis, joint dislocations, chronic fatigue, poor coordination, delayed wound healing"
Ehlers-Danlos Syndrome,"poor coordination, osteoporosis, joint dislocations, chronic fatigue, delayed wound healing"
Ehlers-Danlos Syndrome,"delayed wound healing, chronic fatigue, joint dislocations, poor coordination, osteoporosis"
Ehlers-Danlos Syndrome,"osteoporosis, delayed wound healing, poor coordination, joint dislocations, chronic fatigue"
Ehlers-Danlos Syndrome,"delayed wound healing, osteoporosis, poor coordination, chronic fatigue, joint dislocations"
Ehlers-Danlos Syndrome,"delayed wound healing, poor coordination, chronic fatigue, joint dislocations, osteoporosis"
Endometriosis,"headache, urinary urgency, heavy menstrual bleeding, pelvic pain, depression"
Endometriosis,"pelvic pain, depression, urinary urgency, headache, heavy menstrual bleeding"
Endometriosis,"depression, heavy menstrual bleeding, pelvic pain, headache, urinary urgency"
Endometriosis,"heavy menstrual bleeding, depression, pelvic pain, urinary urgency, headache"
Endometriosis,"headache, heavy menstrual bleeding, depression, pelvic pain, urinary urgency"
Endometriosis,"depression, urinary urgency, pelvic pain, headache, heavy menstrual bleeding"
Endometriosis,"depression, urinary urgency, heavy menstrual bleeding, headache, pelvic pain"
Endometriosis,"depression, headache, pelvic pain, heavy menstrual bleeding, urinary urgency"
Endometriosis,"headache, urinary urgency, pelvic pain, heavy menstrual bleeding, depression"
Endometriosis,"pelvic pain, urinary urgency, depression, headache, heavy menstrual bleeding"
Epilepsy,"sleepiness, cough, rapid eye blinking, aura sensation, temporary memory loss"
Epilepsy,"sleepiness, aura sensation, rapid eye blinking, temporary memory loss, cough"
Epilepsy,"temporary memory loss, sleepiness, rapid eye blinking, cough, aura sensation"
Epilepsy,"sleepiness, rapid eye blinking, temporary memory loss, aura sensation, cough"
Epilepsy,"sleepiness, cough, aura sensation, temporary memory loss, rapid eye blinking"
Epilepsy,"sleepiness, rapid eye blinking, cough, temporary memory loss, aura sensation"
Epilepsy,"sleepiness, temporary memory loss, rapid eye blinking, aura sensation, cough"
Epilepsy,"cough, rapid eye blinking, aura sensation, sleepiness, temporary memory loss"
Epilepsy,"rapid eye blinking, sleepiness, cough, temporary memory loss, aura sensation"
Epilepsy,"sleepiness, rapid eye blinking, cough, aura sensation, temporary memory loss"
Erectile Dysfunction,"delayed ejaculation, depression, pain during intercourse, anxiety, weakness"
Erectile Dysfunction,"pain during intercourse, weakness, anxiety, delayed ejaculation, depression"
Erectile Dysfunction,"delayed ejaculation, pain during intercourse, anxiety, weakness, depression"
Erectile Dysfunction,"delayed ejaculation, pain during intercourse, weakness, depression, anxiety"
Erectile Dysfunction,"pain during intercourse, weakness, anxiety, depression, delayed ejaculation"
Erectile Dysfunction,"anxiety, depression, weakness, pain during intercourse, delayed ejaculation"
Erectile Dysfunction,"depression, delayed ejaculation, anxiety, pain during intercourse, weakness"
Erectile Dysfunction,"delayed ejaculation, anxiety, pain during intercourse, weakness, depression"
Erectile Dysfunction,"anxiety, delayed ejaculation, pain during intercourse, weakness, depression"
Erectile Dysfunction,"depression, pain during intercourse, delayed ejaculation, weakness, anxiety"
Esophageal Cancer,"hoarseness, weakness, regurgitation, hiccups, persistent cough"
Esophageal Cancer,"hoarseness, weakness, regurgitation, persistent cough, hiccups"
